"a1","a10","a11","a12","a13","a14","a15","a16","a17","a2","a4","a6","a7","a8","a9","c1","c10","c11","c12","c13","c14","c15","c16","c17","c2","c4","c6","c7","c8","c9"
-726000,-182000,-6777000,-252000,198000,-588000,-21400,-447000,186000,212000,43000,-430000,40000,-92900,-128000,-79000,372000,-250000,574000,-423000,-383000,57400,750000,252000,-606000,1232000,395000,3330000,130900,145000
-7080000,-12090000,10805000,630900,0,-730000,-219000,130000,-2100000,1e+06,-60000,4e+05,4640000,-464000,-499000,-568000,12190000,-10329000,-115000,3240000,8600000,165000,-4720000,-11320000,-1133000,2e+05,7750000,4220000,5944000,1069000
-856,-1959,-374,-373,211,-1280,-46,170,-16198500,-1250,-150,3,-55,-72,-264,-98,939,-140,354,754,949,138,-134,798500,0,-818,149,626,287,63
-258300,129000,189000,-57000,852000,-113920,-55860,358300,3599000,3371000,119000,-408700,-3230000,19400,-229600,248300,-30000,-287400,-102900,-1036000,570920,12060,233000,-1090000,-3613000,-164000,222700,-1545000,-1600,9800
-654400,238000,39000,5600,868000,6659000,-96600,-66100,15100000,159000,-272000,-541000,1133000,-2973900,-82600,1448400,-224000,-461500,44800,-354000,-6709000,36500,116100,-26369000,-125000,-42000,-30000,-609000,-32000,40600
-1990,25790,-7760,-5250,1140,880,-1810,-32650,-31900,46760,-88900,1620,-11810,-6790,-7890,-4350,-28000,1110,-50,-4610,8370,3570,3010,0,-53010,19200,49191640,-2590,5540,640
-18600000,-11900000,2e+05,-4380000,6700000,4700000,3e+06,3800000,-27800000,19900000,9300000,-15220000,-14120000,148000,1930000,-7490000,-16100000,-6400000,35190000,-16390000,-12500000,-1800000,-1300000,9e+06,-18300000,-12350000,15920000,34820000,-126000,-940000
-430,15720,525000,-6700,6660,-56900,11880,-77300,47500,145000,-5780,-860,-6508000,-192700,-3292,18760,-2600,-1243570,-11100,-3400,-40700,66600,-65010,175600,-165950,-990,631720,-53000,9200,8712
80000,4680000,-1120000,-194100,688000,-2010000,11090000,-680000,2310000,80000,50000,-2580000,2099000,-1281400,-198000,-410000,-2510000,-6000,3765100,-613000,480000,3300000,1250000,-3250000,-1560000,550000,24020000,570000,1751400,-365000
-2037000,695000,9950000,12000,-316000,-18187000,721000,-6308000,-902000,0,-2e+05,-76700,-805000,-298800,-545900,12000,-643000,-9960000,161000,-208300,-104000,5204000,285000,341000,-77000,-6000,127700,5585000,37533800,66900
-1725000,-163000,-33083000,23436000,196000,5739600,-79000,-604000,136000,-568000,5526000,459000,-708500,-12010000,3053000,-83200,-9000,-217000,-22930000,330000,3300000,-23500,4837000,-157000,-474200,-6059000,-62000,890500,-7447000,3800000
-6e+06,3.9e+07,-3.8e+07,2.5e+07,1.5e+07,48700000,-4e+06,-5.4e+07,-3.2e+07,3.8e+07,9e+06,-1.8e+07,-2.7e+07,-3.7e+07,1e+06,-1.5e+07,-3e+07,-27600000,2.3e+07,-1e+06,-54600000,1.6e+07,2.2e+07,7e+06,-2.1e+07,2.4e+07,2.3e+07,1.7e+07,4.7e+07,2.4e+07
285400,-221000,-3123000,218270,138100,5520000,5300,-383000,-1500000,-677500,-2632000,26500,-3262000,-300090,-1006400,1377000,4399000,3183000,4266000,-153000,-3740000,225500,-109000,7070000,11001500,2022000,361500,2502000,201090,505400
1461000,2310000,-6340000,65000,919000,3812000,427000,-1615000,2870000,9670000,-487000,-165000,716000,63000,2339000,-410000,-2270000,-811000,3138000,-712000,390000,-462000,955000,-3490000,-4690000,-23000,2842000,-1010000,248000,90000
-161800,361000,-173000,-22000,152600,-905000,61100,-475500,-278000,-194000,4900,-69100,-156400,-54300,-87200,167800,21000,261000,431600,58000,254000,124300,58500,1216000,1163000,-23600,553100,589400,3851300,296200
-1180000,3720000,-36360000,-1012000,-489000,3438000,230000,1190000,1e+06,850000,-2171000,-276000,-3475000,490000,-50000,5270000,59480000,-3700000,27262000,40289000,27360000,650000,-780000,71540000,34800000,1051000,44380000,48705000,3.4e+07,3960000
11440,-59300,68700,37561500,6700,11600,109860,-56600,-23600,30300,-1018300,-7430,-3990800,-1709300,-400840,8300,137700,-58500,-37556000,-56440,79500,-71400,245700,-19700,184000,-13450,19830,27100,110300,600
-2802000,1210000,450000,-76000,523000,-2481000,619000,-1635000,-2990000,1340000,-1056000,-2680000,-1500000,-308000,-556000,2082000,-3620000,-1792000,154000,-1009000,53000,-160000,1195000,-50000,810000,-4000,2470000,-380000,2919000,564000
-1260,-5970,-8160,1060,1660,-18597750,301,-465,11960,-1480,-1117,-1743,-5250,-406,-2643,220,-1290,287460,50,-2731,1160,265,1665,-13840,-310,707,1743,990,686,503
-21600000,886800000,-2.02e+08,-21500000,4e+07,156500000,-2.4e+07,-26700000,9.8e+07,1.7e+07,-1400000,-2800000,19400000,12200000,-3e+07,9100000,-8.36e+08,-10600000,54200000,-124300000,-88800000,2.22e+08,4.5e+07,-8.8e+07,-1.3e+07,17600000,20900000,81700000,15500000,12600000
-3466000,5333000,-24088000,-101610,209000,7930000,1520000,4100,11609800,-4060000,3486570,-924016,-10100,-61700,151000,-9260,-3900000,-243000,476610,-965500,-8440000,2270000,10850,-10380000,-264900,-2805000,686,75500,-27600,-65100
-323000,-285000,518000,3e+05,73000,-280000,41000,-74000,-517000,124000,-17450000,-431000,-177000,-63200,-224000,93000,316000,-95000,610000,-93000,-525000,719000,294000,617000,751000,11650000,8946000,502000,111200,-130000
-29300000,10800000,-14700000,-13600000,6400000,-1800000,-5130000,-14900000,-10500000,15300000,-1600000,-16100000,-13800000,-6480000,-4800000,7400000,-6600000,-13100000,20700000,-4900000,-17320000,4930000,1e+06,-8600000,-33800000,6300000,9900000,25600000,10080000,4620000
-9720000,4100000,9e+05,-5820000,1550000,-1600000,-1e+05,-7660000,1700000,3300000,-1100000,-8380000,-4900000,-2240000,-360000,-10000,-2700000,-5790000,11020000,-3910000,0,1360000,4760000,-8200000,-1600000,3500000,10280000,9700000,3e+06,1540000
3.5e+07,-1e+06,2.2e+07,-1.5e+07,-1.9e+07,7e+06,1.8e+07,-1.7e+07,-1.9e+07,-1e+07,4e+06,-1e+07,1.3e+07,-2.7e+07,5e+06,-3.1e+07,0,-3e+07,2.5e+07,-2.1e+07,-2.3e+07,7e+06,1.4e+07,-3e+06,0,3.4e+07,1.5e+07,-1.2e+07,2e+07,3.7e+07
-204000,-123000,-25000,-85000,258500,9439000,-14900,5994000,7648000,180000,-110000,-132000,54000,34200,155900,51000,-40000,161000,59000,-311200,-9176000,41400,-5951000,-7723000,-667800,129000,420000,49000,-62500,49000
-17500000,3551000,-11962800,-39900,-11400,-8793000,-117000,15000,-2307200,-1278000,1303800,4510,-260900,-31020,-6490,-10230000,-3767200,86800,1048500,43800,1843000,255000,1744000,-6780,748000,-1370000,193870,-3000,190020,8026090
-1.3e+07,1.6e+07,6e+06,3e+06,-3e+06,1.8e+07,3e+06,2.9e+07,1.5e+07,0,-2e+06,6e+06,6e+06,1.7e+07,2e+06,2.2e+07,9e+06,6e+06,-1e+06,2e+07,-2e+06,-1.3e+07,-2.7e+07,5e+06,-1.4e+07,-8e+06,-3.3e+07,-4e+06,-3e+07,-3e+06
-74070,-61600,-12600,108000,292000,-25400,79400,11890,46400,-599800,-670,-174200,-597400,-9700,-3100,60770,5200,-30000,118000,-542100,25600,6000,12700,243900,445800,37560,642200,4234400,2770,-4700
183000,45000,95000,15883000,-369000,52000,-48000,210000,40000,-18000,-265000,137000,-33000,-38800,-36000,339000,-154700,40000,-16618500,-14000,-201800,398000,-11000,169000,-5000,362000,-419000,-71400,23400,-173000
-326600,-29000,-431000,-379000,-380700,110000,-27600,-1130800,-346000,662000,554900,-190000,-64000,-217000,18000,124600,-34000,-440000,1160000,125700,497000,59600,425800,59000,-460000,-324000,44000,185000,424000,456000
-6363000,230000,1298000,-524000,24000,60000,-72400,-1432000,-850000,3780000,-1370000,-60000,-1300000,-342000,-523000,373000,3260000,2400000,4384000,492000,-354000,99900,5342000,3360000,-4290000,2210000,460000,4850000,434000,5000
23220000,-16160000,7030000,22490000,-9950000,-3900000,-1700000,8840000,-370000,-1210000,10500000,5110000,-1750000,1290000,-3e+05,-16200000,-470000,-7260000,-24090000,9150000,2150000,8100000,-9610000,2780000,1320000,-16590000,-8540000,390000,-1260000,-9770000
9300,3653000,-882400,-193000,149000,919200,-60000,324000,-23400000,215000,65200,-26000,155300,51000,-145000,21000,-3312000,-75430,436000,301000,-573000,1268000,-317000,11400000,-35000,169000,207000,219000,168000,128000
6010000,-450000,160000,-2200000,5e+05,1e+05,490000,-3400000,-5490000,1600000,-7580000,-3580000,-6e+05,-5080000,-15130000,-1280000,-20000,130000,1300000,-5430000,4450000,-80000,-1820000,5020000,-1200000,7080000,19280000,2800000,1e+06,980000
-34088000,764000,-12839000,-187500,517000,-1260000,-76000,-12707000,-1960000,-194000,-186000,-238700,70000,176400,-55100,564000,225000,909000,1490500,513000,-150000,812000,11000,-417000,20844000,-346000,1263700,16870000,12538000,364100
108000,-10857000,394000,3000,549300,523000,219000,556000,7724000,6084500,-13601000,70800,135000,-67000,515000,352000,21057000,142000,389000,-572700,-267000,-138000,-358000,-7786000,-5130000,-637000,260000,17000,333000,-485000
-5310000,2590000,-7360000,-3570000,2280000,-90000,-79000,-5970000,-24540000,1370000,30000,-1334000,-30000,-430000,-902000,940000,150000,-210000,6610000,-2520000,370000,695000,3200000,-730000,21800000,1190000,2364000,4460000,31960000,4312000
-18600,271000,-8100,-49800,107200,-149200,35490,120500,2514800,76900,-231000,-6800,5900,-88100,-23000,27300,1650000,-45700,80600,-110400,22200,-31900,-161300,-2264000,244000,-166000,83570,39100,-46100,32000
830000,4574400,640000,89000,995000,-485000,28330,-2491600,-8410000,-103000,66300,-114800,-414600,-5400,-55700,-1061000,-4482000,-1514000,188000,-1158000,50000,86000,23600,-1053000,-140900,-85600,406800,276600,320300,-49500
-69000,1122000,80000,-1062800,-43800,-130000,16000,-23000,-446800,153000,63000,15400,551000,-20400,-49700,-156000,-853000,-136000,401800,119800,91000,-111800,-12000,19700,157000,-104500,43500,1765000,218400,637600
82100,59800,293000,-278500,-517000,-5600,287400,17000,-1553000,-799000,504000,104000,-202800,79000,-109000,66000,-60200,-128000,322500,29000,-32400,1226000,81000,228000,-25000,-686000,244000,431800,1015000,253000
-1293000,-1147000,-2820000,-930000,580000,650000,-299000,-1308000,840000,1e+06,-524000,-1924000,629000,-10097000,-521000,345000,897000,-70000,1440000,-867000,-1546000,279000,818000,920000,-1380000,219000,1224000,1220000,2537000,64000
-421000,-180000,536000,260000,-502000,595000,160000,470000,206000,114000,-30000,350000,363000,-320000,220000,790000,-46000,221000,-734000,422000,-136000,-430000,-251000,-72000,-474000,40000,-595000,-518000,-251000,-2e+05
-40730,1231000,1720,-1020,31800,-540,29200000,0,-114020,15900,-1200,-818,102000,307,104180,35598530,2920000,10798280,10600000,2208200,3497200,12800000,987,4198020,4814100,714000,34700000,42533000,29899693,35693000
-1284000,420000,-253000,-194000,325600,-687000,-100,-279400,-1513000,279000,141000,-116100,-530700,-136000,65300,-439000,-1940000,-827000,38000,-282300,-65000,35100,6500,-304000,-431300,-4e+05,678100,411700,-230100,-89300
-427000,13997000,-31752000,-45700,527200,50000,409000,-50000,10970000,10544000,11000,191600,313000,8000,27000,376000,-10990000,942000,1618700,-58000,15390000,11869000,1007000,-8280000,-6680000,-63000,1216000,246000,670000,28000
-307800,115000,345000,-304700,840000,-33200,-19620,923200,-2440000,5300000,15000,-282680,-5620000,-11270,-1258290,192800,-7000,-322000,24200,-1000900,270000,780,-718000,2330000,-7654000,-214200,144680,-1004000,4640,53290
-58200000,13000,-334889000,9800,10584400,17630000,-524800,-1389900,-383000,-1346000,15990,-18590,-565300,33000,-328510,-30200000,-185000,16000,8100,-10572300,512300000,29100,81489900,150000,161000,-3900,77790,265300,11400,88410
-8882,1590,-20570,-2990,-11100,700,0,-3310,-3910,2460,-832,-688,1710,-899,0,-828,1130,-370,0,3108800,-10,0,70,1510,-3780,1540,1840,1920,0,0
-6030000,-40000,1169000,-334000,-62000,11750000,54000,-176700,-442000,-263000,-99000,-187100,51000,-344700,-150800,-320000,9e+05,-1517000,463000,1305000,-13733000,-99400,311700,-75000,0,84000,15500,161000,128700,-11700
-23930000,-41640000,-61200000,-7100000,18600000,24090000,10000,-6600000,22500000,25100000,-10490000,-17100000,-14900000,-5270000,-31510000,8730000,-2330000,-14240000,34100000,-24530000,-14100000,1960000,3600000,-11900000,-40790000,13090000,12900000,-14400000,-2040000,1940000
-12850000,8e+06,-7e+06,-3670000,170000,-80100000,-3800000,-3760000,3300000,10200000,-4e+05,-8080000,-1e+05,-6e+05,-5970000,1770000,11200000,-12980000,27270000,3960000,2400000,3300000,1960000,13100000,6e+05,1900000,12080000,15600000,8830000,5770000
-4930000,-6100000,-6070000,-1240000,160000,780000,-41000,-850000,-14160000,1440000,170000,-1150000,1.6e+07,-62000,-64000,180000,-10860000,-2300000,3430000,20000,1870000,233000,2470000,3010000,3960000,-210000,12670000,-15690000,281000,-67000
-76920000,-1980000,-3490000,1170000,3140000,-3520000,-2465000,-3800000,-7600000,-3300000,-2240000,-2073000,497000,-13413000,-152000,5900000,30000,-440000,5470000,1510000,-7380000,7365000,3300000,7600000,5300000,5090000,7783000,16410000,1673000,-109000
5260000,-56400000,-7990000,7240000,11720000,-15570000,7590000,-13850000,9e+05,-3400000,-7520000,-1437000,-8460000,-7602000,-7035000,-6470000,-12670000,1530000,-730000,-13278000,11470000,3600000,12550000,-11300000,-5e+05,290000,8767000,2e+06,8272000,1455000
-12900000,19400000,-47200000,83700000,36300000,-97700000,-1800000,-20300000,4400000,-22600000,26800000,-14700000,-14400000,-18553000,-32340000,-6600000,-45500000,-3500000,-52500000,-47100000,3300000,10500000,25100000,-39600000,-18100000,-23100000,117400000,22100000,5773000,1480000
137200,-896800,290800,161400,-191600,1018300,65000,4524000,3910000,-2000,143000,-236200,0,24200,-30100,-133200,-66300,-321600,-187100,-3200,-986400,50000,-4752000,-4487000,-127300,-4000,453200,-147900,137200,18100
-1176000,1055600,-32019300,-342800,-555000,536000,30000,-14000,-80000,1354000,585000,-67100,16000,-31000,-132000,63000,-1084100,-2000,44800,-151700,4630000,154000,3375000,-374000,-948000,-590000,53100,330000,681000,258000
-1572000,103000,684000,-17000,71600,153000,-333000,39000,-377000,-1455000,1160000,-170000,-138000,-531200,-49300,59000,115000,-624000,86000,153000,267000,242000,-160700,84000,-143000,-1234000,163000,70000,484200,-10800
1740000,-1130000,1620000,-160000,-1630000,-170000,360000,-1210000,-1840000,-350000,590000,-310000,910000,-1670000,-250000,-1740000,-290000,-1580000,680000,40000,-140000,220000,930000,-70000,880000,720000,1130000,-790000,1980000,1290000
974,2160,0,0,1000,0,714,0,-3340,0,2440,961,-1350,0,-493,26926,-2160,0,0,-2970,0,-714,1560,0,3460,-260,1639039,-2090,0,-797
-3870000,1400000,-5680000,-2600000,1674000,-1090000,160000,-3250000,-5950000,3480000,-6850000,-3010000,-8930000,-4380000,-1688000,-810000,-5300000,-3890000,12490000,-1646000,-1450000,-340000,120000,650000,5900000,1010000,160000,6840000,5910000,20538000
55720,4520,-1900,-2750,1220,-13900,2710,570,15430,4200,-45750,4790,2690,9041,-2272,-50670,-7580,3610,54010,-1706,-66700,59250,-630,76300,-12940,108850,109900,-3470,-3680,2669362
-4e+05,248000,-2459000,-28510,-29820,-920000,-414500,-161200,-13160500,-18365000,11983000,-196300,-800,-30800,-17600,-15606000,-315000,531000,1276710,28020,790000,869500,13815200,-19500,-259000,-12114000,472300,9000,182800,20154000
354600,270200,80900,-10590,1e+06,-29700,-5100,-723400,205000,-728000,115000,-65800,-118430,-86800,-4570,-124000,-77000,-45400,1577890,-1156850,45800,252000,460400,-383000,2818000,-145000,1610000,254430,438800,448000
-76900,62900,25600,-4100,-62800,25000,7810,-42300,-24585900,2400,-20100,-53521,21700,-53550,-7400,-1100,31000,-97040,10500,59800,-59900,-3400,-3000,1925900,-21600,-16490,3811,-20600,34050,76700
-55880000,1600000,-81100000,-18700000,6700000,5100000,-6130000,-14500000,0,9.2e+07,-7600000,-43900000,-19100000,-4600000,-2300000,5280000,10400000,-54400000,53200000,4300000,4900000,2730000,-7600000,9e+06,-8.2e+07,17900000,22900000,45800000,0,8400000
-1860,31340,-430,6194,0,1568,13517,-6468,4185800,-365,105700,0,563,-1090,-45100,1260,-33680,110,-3380,0,34540,-13461,417428,-4192600,6405,-194960,0,-563,406,706
-180000,3e+06,214600,-115000,-241300,-134000,248000,-170000,-312000,399000,-10100000,49000,169000,-429000,-404000,36000,-1600000,-69000,-119400,34300,-44000,-348600,262000,77000,-430000,439000,-194000,19000,3096000,26000
938,0,-5540,0,0,1780,0,3350,2010,4580,0,0,-1750,-1120,0,-938,0,6e+05,0,256000,-1780,3740,165650,2217990,77020,0,580000,12500000,1350,317000
4000,1246000,-114700,-140,75300,-474000,305500,-266000,509000,-88000,38000,-678000,309000,-260800,-37000,-48000,-881000,-68100,952550,-23000,346000,353000,241000,2740000,1672000,209000,5708000,356000,432800,124000
-17488000,4420000,3360000,-268000,1367000,-1340000,312000,-661000,-3930000,760000,91000,-742000,-1800000,-234000,-2117000,1328000,-2400000,-6570000,1218000,-730000,-3640000,-33000,1001000,-190000,-480000,302000,5122000,27280000,726000,947000
-30250,-1287000,-70490,-11800,-24200,14300,-20100,-22880,13888100,-81000,18900,-13900,278600,-14410,-26900,667250,4800,14790,406100,-63600,-33300,149000,172280,-13770000,-104400,-22080,61700,-269700,307810,-2270
-164400000,1.17e+08,-1.551e+09,1.32e+08,8e+06,3.13e+08,-2.4e+07,-8.7e+07,-1.07e+08,1.05e+08,4.4e+07,-1.56e+08,-8.7e+07,-1.45e+08,-2e+07,16700000,3.9e+07,-1.45e+08,2.9e+07,-1.3e+07,-1.08e+08,3.5e+07,6.6e+07,3.2e+07,-1.24e+08,-3.3e+07,1.14e+08,2.01e+08,-1e+07,8.5e+07
43,11259,5070,-2320,-952,-3598810,-176,-6196,-7700,-300,3275,87,-559,212,-159,380,-10650,1172090,1880,0,-386,195,4156,-260,-260,-2947,4120,35569,318,67
2360000,5643000,-1570000,-453000,-70000,-1300000,89000,780000,-6940000,50000,880000,-308000,-1131000,-85000,-179000,-1900000,-5510000,-60000,837000,-720000,-980000,415000,-550000,-1850000,-450000,-880000,69000,931000,4905000,14000
-15000,-17895000,-633000,387000,15900,415300,10180,-4668400,-1245000,463000,74100,-68780,-58000,-157100,-86300,161900,558000,-229000,-74000,95800,-311000,288800,318400,599000,475000,-51900,229180,64000,150100,52600
-157000,8810000,-1000300,-20000,135000,71000,1612000,211700,-670000,338000,-444000,-48500,184000,283000,-23800,-40000,-9020800,29300,675000,-226800,512000,5150000,-25000,40000,-236000,53000,752000,-123000,-126000,11522800
-131000,-27000,-72000,-13600,8798000,-10668000,-11740,-745700,-156000,-1325000,-116100,73000,-4519000,8900,-1654700,455000,-53000,180000,150400,-9128000,174000,35340,9008700,-277000,147000,47900,314000,414000,79300,83800
-30660,4e+05,-35000,-42900,71800,-29400,5560000,-800,3600,7000,6900,-9600,163000,12200,-29500,1307360,4900000,5114000,17239900,-11000,21869500,4850000,9600,26319000,17990000,1129900,1127800,13435000,2903000,3609900
-22900,-411700,-241000,-194000,355000,-55400,20600,-164700,-607200,-546000,-1200,56870,-268000,-62700,-40600,-18600,78200,105000,279000,-360340,51200,34900,-25800,1322200,-235500,15100,203200,1382000,212100,-19800
-867000,11442000,-951000,-4728000,2244000,-11590000,-36000,-972000,-650000,-270000,195000,-367000,130000,620000,-373000,1057000,-6690000,1361000,8278000,-2470000,657000,444000,14072000,-1570000,-80000,-369000,1016000,15760000,-523000,80000
-60200,58750,-25273600,-18070700,-11290,10900,-6760,9100,-1600,58700,33000,-14060000,82300,23810,16693420,27287300,-34500,12300,-23940,450,9100,3050,-20070,14600,-54900,18800,-8331840,-60400,-28500,-16690740
-11770000,8e+05,11034000,-1491000,958000,-1136000,350000,245000,-1180000,140000,-1241000,-978000,-13500000,-3260,-268000,730000,-210000,-10370000,1901000,-869000,786000,80000,-547000,5e+05,440000,931000,998000,550000,3610,-45000
301000,519000,3754000,95900,1401000,-101000,-19000,-1008000,-2380000,-990000,312000,-163700,-284000,-44000,-40000,664000,147000,-3260000,3671000,-1909600,205000,975000,1198000,-820000,3950000,-460000,983700,654000,13013000,540000
-1020000,-5955000,-2213000,301000,-198000,225000,3000,-386000,12051000,5400000,-198000,-746800,-1780000,-14967000,-9730000,8360000,5955000,-66000,-347000,2000,-439000,8418000,241000,-12241000,-1.8e+07,248000,681800,13980000,1827000,5910000
-17313000,50000,-549000,-88300,387740,-3473000,9700,-11681000,-112000,153100,-158000,23100,1402000,-20400,2400,3000,-224000,215000,525300,-392150,669000,310000,12781000,-69800,736000,151000,-40140,-1948000,2533700,79100
-130500,23000,-814000,-12580,-17900,51000,-2200,7900,-2030,99800,-18400,-10850,-38100,-8040,-65160,44300,-156590,-54000,15280,-49820,-200500,2610,2728600,-2970,-134620,37600,6340,9700,7080,40060
0,-8140,-2670,13801,0,0,0,0,3678500,-1260,0,0,15400,0,0,1070,-310,0,-14500,686,0,0,0,-3680000,0,0,915,-15400,0,0
-990,-19100,-15600,-11400,-4330,4800,-9290,-44610,-36560,111000,12360,1240,-13180,-19080,-120,5430,383000,-16200,101000,99830,200900,-1820,24910,181360,1881000,101000,45650,101080,14280,10720
-607000,1890000,-140000,-262000,-171000,2360000,935000,6510000,-6240000,30310000,480000,-101000,-8990000,565000,-40000,184000,-3280000,-882000,760000,-285000,-2230000,-980000,-6931000,-5009000,-29860000,-634000,1084000,-350000,-653000,89000
482000,-14176000,1e+05,245000,-519000,37696000,178000,15460000,26420000,121000,460000,432000,-10422000,288000,-80000,10960000,539000,130000,-586000,-96000,-37445000,568000,5e+05,-27840000,-14000,110000,555000,-758000,14169000,-875000
-1484000,488000,-2270000,7600,-1054000,-25030000,1851000,9780,1587600,-1382000,774300,-250780,-363520,-37000,-25000,12000,-607000,-1870000,426200,-450000,40000,-1938000,-7500,450000,-27000,53000,84880,-340,14000,53000
-394,1570,-2480,0,0,-5688680,0,0,2900,350,0,-842,-992,0,0,-606,-550,209000,0,0,-1320,0,0,-4500,-1390,0,916,1660,0,0
-23800,256000,-250800,232900,25300,44100,76800,-6900,52710000,-373000,79330,-315100,384300,-18690,-107100,68800,-607600,17000,-142000,-41000,-40500,-60900,103700,-54423000,502000,-76190,418100,-298000,4560,28500
-104800,7100,-17001800,4830,14120,922000,-8500,-288200,-14700,-26420,-384400,-700,-66300,1340,9720,45300,14500,-73700,257400,5400,-190000,82700,838200,66100,61220,-11400,31340,94300,150,4100
-22000,10923300,-3780300,-62900,-60500,-43200,719000,0,59000,177000,16400,-231200,3351300,1064000,3100,-120400,-9910000,9700,118500,-8640,49300,-615000,272000,-592600,-308500,-7400,11711200,-3367500,-326000,-3600
-3783000,205000,630000,-122100,152400,74000,63900,10000,-1080000,408900,425000,-17000,-2319000,2000,-18900,147000,-184000,-637000,241100,-118300,-187000,171000,212000,-1153100,-379600,-808200,112000,-347000,273000,498900
1125220,-15210,1364700,253830,269000,8931000,-1500,-250,-1007000,-116270,6600000,-6030,-8000,430,-3560,770000,12310,-1383570,902000,-263430,-8588000,2420000,92890,-334100,131270,-7900000,1050000,-197400,1018090,15098480
-451000,-82000,168900,29800,33588,-190720,-236600,204700,-689000,420000,-72600,-2e+05,-386000,60600,-61100,-16000,662000,-27000,68900,-33050,37920,89600,752000,1272000,-1211000,-11840,5138000,138000,5800,-13600
-10030000,436000,-125000,-520500,-352900,-40000,-257000,-16000,-10691000,532000,-1847000,-3920,-279000,-365600,-499100,-142000,-323000,1e+05,146500,20800,768000,-197800,-127700,-769000,-740000,384000,5820,781000,122600,341100
54000,2407000,-970000,-6961300,492000,-13160000,1041000,-16959000,-43900,-2000,-588900,95200,-111400,-3160000,284000,427000,-2872000,410000,9521300,-271000,-1711100,-1184300,-236140,316100,-234000,80900,-4000,1306400,-113800,-647600
22000,93640,-51800,-14720,-256200,-16590,112100,-18080,-1900,-16700,17900,-10890,-14098240,-35600,24570,-154900,-35400,598900,10320,-61540,29990,17000,571580,805700,58700,-31330,68690,77440,18100,-2300
-23500000,-7100000,-26700000,2200000,3860000,5300000,-453000,-6280000,-3600000,30800000,-1660000,-4600000,-2e+05,-2304000,-21130000,7200000,22800000,-3e+06,6900000,-4020000,-6600000,1673000,5410000,18200000,-36100000,1760000,11800000,22900000,1384000,7790000
-3400000,5940000,-3150000,7360000,-2e+05,15500000,1421000,15360000,15110000,-13900000,7500000,-1600000,-840000,16700000,-11260000,11040000,-6450000,10360000,2400000,2500000,-14250000,-440000,5300000,-8300000,9e+05,-16360000,0,13980000,-1.6e+07,-190000
-2948000,1450000,2480000,-431000,-276000,-9740000,-1000,-459000,-2480000,210000,-335000,-524000,-56000,-295000,-66700,94000,240000,-2550000,315000,331000,-792000,-55600,-86000,-1078000,-1232000,72000,301000,-657000,-172300,203700
510000,-1740000,810000,-620000,-1540000,580000,1270000,-1410000,-1380000,-460000,1100000,-560000,-220000,-730000,330000,-1100000,120000,-630000,-80000,-70000,-1120000,-190000,130000,-140000,-40000,860000,140000,310000,1530000,1380000
-36400,67100,-7698800,175400,-123000,-75559000,-301540,-29000,-116000,120000,-144500,-414000,-29700,-93500,-2389000,50100,1085000,-16400,-191000,235000,9300,113540,-4000,2377000,-233300,24600,721000,10100,40900,206000
-2300000,340000,406000,-228800,-11490,-270000,25900,-809000,-892000,4000,-34000,-111200,277000,-199000,47600,-90000,690000,-661000,137800,32890,-494000,-14300,-192000,-534600,-632100,59000,61800,-290000,-184100,-63600
-216000,4095000,313000,700,-181980,-5742030,5900,135900,-4138100,-105230,85800,-121142,-96950,-1430,-67890,-76000,-4647100,-425500,110200,-530,9330,33000,379000,-2600,-2620,9000,19542,-80,16840,13290
-277000,3000,-2754000,-74000,-27000,2700000,-1130000,-542000,290000,1960000,2193000,-505000,-751000,-940000,-4890000,913000,481000,168000,1187000,199000,-2580000,1020000,395000,-640000,590000,-3052000,866000,1971000,950000,4630000
-116000,-1254000,-2.6e+07,6783000,-366600,1418000,2651000,-54983000,-255230,-909000,-350000,-756000,20000,-44540000,4577000,119000,1344000,-25000,-6585000,-1700,3130000,-510000,1313000,145230,449000,-1493000,45846000,-594000,520000,6330000
44000,-46000,-76000,3051030,7000,31109000,-19000,-91200,-1000,42900,-2878300,148450,-491000,463000,25000,445000,2549000,2353000,-180000,255000,-28430000,544000,501200,5353000,9879000,11308300,1884000,621000,228000,10555000
-226000,-26000,-18800000,-370000,2273000,2732000,-41700,-2345500,296000,1266000,-61000,-30811000,-1033000,-558000,118000,1623000,-65000,-7090000,876000,-2485400,-1960000,14700,622500,853000,-915000,-103000,1291000,1023000,241000,-36000
-1465000,-2177000,730000,-139000,-68000,-3270000,1196000,1652000,230000,-171000,-681000,-338000,-325000,389000,1310000,985000,-252000,-1200000,2032000,247000,-939000,-130000,-1847000,-1056000,730000,191000,448000,62000,-597000,-1954000
535200,0,572700,0,0,912000,-5730,0,-6970000,-1870000,-1276660,-243000,490,-216000,91500,-577000,0,-575000,1490000,0,-910140,479000,0,0,0,278660,401000,-2010,423000,-72200
-2040000,-320000,-9420000,-465000,6334000,9e+05,-78800,-2900000,-3670000,8820000,703000,-9e+05,-50000,-141000,5e+05,6e+05,5180000,60000,795000,-5870000,-1277000,71800,3680000,1330000,-9300000,920000,1470000,9400000,368000,-670000
