"a1","a10","a11","a12","a13","a14","a15","a16","a17","a2","a4","a6","a7","a8","a9","c1","c10","c11","c12","c13","c14","c15","c16","c17","c2","c4","c6","c7","c8","c9"
-16300,782800,500300,-4890,-156600,-2513500,-233900,-50500,-941100,83800,-1229000,-19950,30200,-51000,-44300,8200,-759500,-566000,160590,9649600,-38500,-28690,428600,494100,2323000,312000,28350,113700,-233000,15800
13090,1900,22600,21400,10800,-19200,-388600,-5300,8500,16200,-32900,-64900,-19500,-65100,-4100,63700,-800,-49900,-22900,-33700,165600,-50500,17000,7700,10100,-17000,-11000,51700,32000,-55500
-5620000,2170000,-52700000,-397000,1800000,33270000,22120000,-2004000,19290000,16800000,-150000,14000,-5774000,-720000,5431000,-40000,-3430000,-22700000,18817000,-14700000,-19400000,-5800000,386000,8e+06,-40740000,17870000,2288000,3914000,1450000,1440000
-11820000,2400000,-47500000,-2020000,690000,9500000,-7e+05,-6400000,-6200000,4900000,720000,-6450000,0,1970000,-120000,2980000,-1100000,-9410000,15730000,-710000,4800000,1660000,5400000,-7e+05,-2700000,80000,6510000,7700000,-1970000,2160000
3800000,2.8e+07,-7400000,-5230000,3900000,-3900000,21900000,-9600000,-12600000,2.3e+07,9300000,-3820000,-16300000,-1e+05,3e+06,-2500000,-12800000,3e+05,14930000,-3900000,-5400000,-4800000,14500000,-1400000,-14100000,-8e+06,19520000,-3e+06,-1e+05,-2400000
-972000,770000,149000,-121000,3e+05,-1322000,163000,-781000,-1200000,920000,-128000,-305600,-390000,229600,12100,385000,-1100000,-477000,624000,-582000,1252000,-118000,-5000,-749000,-410000,-45000,236600,220000,-44000,18900
-55900,308000,-481000,3000,145300,208000,130920,-413800,-711000,348000,83300,-175800,-410000,35000,-17870,8500,-704000,-229600,143000,-121500,-427900,29000,106800,-282000,-349000,-125400,105800,378000,-69900,-460
-6830,-9060,-5277030,-4810,-7540,2546290,9840,-199300,-21470,-42200,-260,110,-3550,2070,1370,3540,26360,13730,83610,1770,-920000,6800,10588300,47870,176900,12350,190,11100,422750,10920
-1803100,-19200,124530,735800,10700,1292000,-43500,-5700,14600,123000,14410,29900,60900,-23500,47200,-42000,-8500,-121000,-766400,-26060,-1304200,-16400,1564800,-26970,-141250,6500,-73700,-69250,-600,-34700
2970000,-1750000,690000,5460000,-3e+05,320000,1390000,-3590000,320000,-8e+05,9210000,-2e+05,1930000,310000,12270000,5390000,1e+05,-410000,-8430000,220000,1460000,-940000,1400000,-90000,1450000,-8940000,340000,-2140000,1180000,-12450000
-1369000,1250000,-6e+05,106000,3160000,390000,-11700,-6783000,-190000,-470000,-830000,-332000,-147000,330800,-488700,461000,1590000,1960000,5315000,-3856000,-5099000,13600,3183000,3150000,1690000,370000,1862000,1618000,1973000,-7700
107000,398000,-577000,-38200,237000,-610000,35900,-152000,-1450000,832000,534000,51000,-428000,954500,-319000,280000,-992000,347000,4853200,-874000,620000,51900,-527000,-1840000,-870000,-1002800,313000,63000,-731000,337000
-4190000,12900000,-8670000,-7e+05,1050000,10880000,670000,-7470000,-16400000,7730000,180000,-1870000,-1790000,990000,1710000,1410000,-9500000,-4140000,21900000,-1900000,18900000,1810000,410000,-2180000,3e+05,890000,4620000,2710000,180000,-650000
2512900,31600,-1287700,-1100,4600,-21900,2400,-7372600,800,62200,8050,-1500,2000,11500,0,-2527700,-22000,-29700,18900,-17000,-16020,7200,3500,129200,-58100,-12600,7300,9500,14900,-8200
